2011-02-09 14:27:49 Warning: Warning (2): move_uploaded_file(/home/wisnu/Project/widget/app/webroot/img/products/1/ga mudik.png) [http://php.net/function.move-uploaded-file]: failed to open stream: No such file or directory in [/home/wisnu/Project/widget/app/controllers/products_controller.php, line 23]
2011-02-09 14:27:49 Warning: Warning (2): move_uploaded_file() [http://php.net/function.move-uploaded-file]: Unable to move '/tmp/phpUEOFis' to '/home/wisnu/Project/widget/app/webroot/img/products/1/ga mudik.png' in [/home/wisnu/Project/widget/app/controllers/products_controller.php, line 23]
2011-02-09 14:28:56 Warning: Warning (2): move_uploaded_file(/home/wisnu/Project/widget/app/webroot/img/2/ga mudik.png) [http://php.net/function.move-uploaded-file]: failed to open stream: No such file or directory in [/home/wisnu/Project/widget/app/controllers/products_controller.php, line 23]
2011-02-09 14:28:56 Warning: Warning (2): move_uploaded_file() [http://php.net/function.move-uploaded-file]: Unable to move '/tmp/phpCFTWjH' to '/home/wisnu/Project/widget/app/webroot/img/2/ga mudik.png' in [/home/wisnu/Project/widget/app/controllers/products_controller.php, line 23]
2011-02-09 14:29:34 Warning: Warning (2): move_uploaded_file(/home/wisnu/Project/widget/app/webroot//img/3/ga mudik.png) [http://php.net/function.move-uploaded-file]: failed to open stream: No such file or directory in [/home/wisnu/Project/widget/app/controllers/products_controller.php, line 23]
2011-02-09 14:29:34 Warning: Warning (2): move_uploaded_file() [http://php.net/function.move-uploaded-file]: Unable to move '/tmp/phpzs3GMc' to '/home/wisnu/Project/widget/app/webroot//img/3/ga mudik.png' in [/home/wisnu/Project/widget/app/controllers/products_controller.php, line 23]
2011-02-09 14:32:11 Warning: Warning (2): move_uploaded_file(/home/wisnu/Project/widget/app/webroot//img/4/ga mudik.png) [http://php.net/function.move-uploaded-file]: failed to open stream: No such file or directory in [/home/wisnu/Project/widget/app/controllers/products_controller.php, line 23]
2011-02-09 14:32:11 Warning: Warning (2): move_uploaded_file() [http://php.net/function.move-uploaded-file]: Unable to move '/tmp/phpjP76rw' to '/home/wisnu/Project/widget/app/webroot//img/4/ga mudik.png' in [/home/wisnu/Project/widget/app/controllers/products_controller.php, line 23]
2011-02-09 14:33:54 Warning: Warning (2): mkdir() [http://php.net/function.mkdir]: Permission denied in [/home/wisnu/Project/widget/app/controllers/products_controller.php, line 25]
2011-02-09 14:33:54 Warning: Warning (2): move_uploaded_file(/home/wisnu/Project/widget/app/webroot/img/5/ga mudik.png) [http://php.net/function.move-uploaded-file]: failed to open stream: No such file or directory in [/home/wisnu/Project/widget/app/controllers/products_controller.php, line 27]
2011-02-09 14:33:54 Warning: Warning (2): move_uploaded_file() [http://php.net/function.move-uploaded-file]: Unable to move '/tmp/php0GNk63' to '/home/wisnu/Project/widget/app/webroot/img/5/ga mudik.png' in [/home/wisnu/Project/widget/app/controllers/products_controller.php, line 27]
